identifierHash,countryCode
-1097895247965112400,gb
2347567364561868e3,mc
687094054684805e4,fr
-4640272621319568e3,us
-5175830994878543e3,us
7631788075812383e3,de
674361423306028400,se
2550976450216757e3,fr
3718185418791028700,it
3908244093584862700,gb
-8291872437813427e3,it
-799281291336805e4,us
-6042837405271512e3,es
8027803513424685e3,it
-1009317821982259500,us
1205881756843387100,it
1450851698857145300,de
-9221801386431226e3,es
732189832737494500,gb
8741445689531731e3,es
8317887111506061e3,fr
5145876400632363e3,fr
6048206785556031e3,fr
3275083886092943400,se
5724841529455567e3,it
-7107267944201976e3,fr
-7659168937010608e3,es
-666300818922943e4,hr
-3666404711126006300,us
7927686682563456e3,it
5993803159989834e3,fr
-6114870297213503e3,lv
-5736812074957181e3,gb
-1729009415811639e3,tw
-697661860180574300,gb
2555419810142555e3,gb
-6017183581142816e3,gb
-6184929557711344e3,es
751170060116305e3,it
866533151187667600,es
2063789019158959e3,it
-6200949683536787e3,bg
8848554873545217e3,es
3479861271803167e3,gb
2624921703073218600,us
6316993533074983e3,fr
4006961445353149e3,it
-1006797016053203300,it
1243326618075091700,fr
-1476665525462223400,bg
-685666612473067300,it
-3509281294387690500,cy
-3240410723839502300,gb
-7003214344574182e3,fr
245123921236534940,gb
3603032965600555e3,it
5888568966094757e3,fr
-674375683452639200,it
-1518127094662515500,it
414557244265065e3,it
-2593705224835681e3,it
-3756574628479963600,de
-4708792591984925e3,fr
-2423762989463308300,it
4878417912154087e3,bg
-3105560726122001400,es
2471908634811747e3,fr
-707350252975782300,lu
-2.6696702994885158e+17,fr
-5126039730159284e3,gb
5040679896375817e3,it
7628056793489695e3,it
1148664357418862200,it
-7525201869937988e3,gb
-730554516814933e4,gb
-4989163984886404e3,gb
-5487622799428918e3,it
5578087612076627e3,it
460632335991029800,fr
-3031036438332403700,es
-3225547952260578300,it
-2019638691506243e3,ro
2447725262541190700,se
-475961064526915700,it
-5265011381291166e3,nl
392351478755041800,fr
-1.5547251286360918e+17,it
-7333104076460973e3,sk
6362794750925083e3,gb
2296455035567004400,gb
-1558789575290939e3,it
-118824317870262110,it
5570386793953288e3,es
4039848352999540700,it
6198034727570263e3,gb
-3.7671298403275203e+18,it
-3642418212370401e3,bg
-4289690996070697e3,es
-2032563623176529700,it
5269324306561311e3,gb
7870506640365539e3,de
-5637783340286902e3,it
8398736055743886e3,hk
3156900972305054700,it
-4662320532106764e3,fr
3205066812882034700,fr
2005806314827326700,fr
3396971333013662700,es
-132504925576448500,fr
3941177177301677600,it
3560501522899091500,es
5608601345266669e3,gb
-3988618490726027300,gb
-2635574127550510600,it
5340705875835601e3,ro
-7456592652783748e3,lv
-4585062663413947e3,fr
-1843636273675089700,fr
6636702965614781e3,fr
-6493861971501273e3,de
7599081979479136e3,it
2954063031698529e3,fr
-175545152996650850,at
-8114060767204712e3,fr
2176676048375513e3,gb
-54149593428166e5,nl
8412468974196689e3,gb
4544236993054741500,it
-7270250484585798e3,it
5658594004416572e3,it
2089942970038387500,be
4397937128872732700,it
8714632166259026e3,fr
7433446967793286e3,it
1012384471114635300,nl
286344086476967420,it
2810735565323164700,it
5948527957260622e3,se
1414819104682020900,es
274285183765534e4,fr
-1811241777092183600,it
-2484050910464265e3,gb
-1587256097918933800,it
-256273391053239e4,it
-6774410030134281e3,it
5645343112681717e3,ch
-196526328939107460,es
-5615345129556213e3,fr
2809544399795828e3,it
-4952083411492433e3,it
-4183965762188839e3,fr
-3278299100123669e3,fr
3298648559181926400,it
7815106841903372e3,it
8467622258833975e3,au
1650442485725479700,es
-3111245128789617e3,it
1821852718268771600,it
2119852871524485600,fr
-6408087395020673e3,it
-2481040147845794e3,fr
6265942445734722e3,gb
1108410503511830800,fr
-5465827034815947e3,de
804300687807278700,se
4552307206837197e3,fr
-4817330933906711e3,gb
3143360820876874e3,us
6836225089878304e3,it
772916917303764200,fr
1266513722862909700,es
8954682889673027e3,fr
-5044967667431901e3,us
-743341976469502e4,nl
-4921665515049113e3,hr
2223440464791259100,us
7354106200842466e3,se
-5929631072110696e3,gb
2666967150317595600,gb
8895610986335586e3,de
-3399229719974957e3,fr
4691043451889598e3,fr
-3184248708798182e3,it
-3692647451487729700,it
123406389834757060,it
8259811812732836e3,fr
-7270125722291322e3,fr
6450837885368826e3,us
5672578926527822e3,de
-2070747490330478e3,gb
-1930793547500065800,us
-1218321640451818e3,fr
1887588469577775600,fr
-5304045581393805e3,it
2080874342282188800,nl
-7558842031035019e3,fr
2684463115894202400,mc
9165237695460276e3,fr
6927980912431519e3,it
-1024978039084839400,be
2134769578327151600,fr
9112201254574659e3,se
