identifierHash,gender,language,seniority,hasAnyApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniorityAsMonths,seniorityAsYears,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought
-1097895247965112400,M,en,3196,TRUE,TRUE,TRUE,11,106.53,8.88,147,10,77,26,174,74,104,1
2347567364561868e3,F,en,3204,TRUE,TRUE,TRUE,12,106.8,8.9,167,8,2,19,170,99,0,0
687094054684805e4,F,fr,3203,TRUE,TRUE,FALSE,11,106.77,8.9,137,13,60,33,163,94,10,3
-4640272621319568e3,F,en,3198,TRUE,TRUE,FALSE,12,106.6,8.88,131,10,14,122,152,92,7,0
-5175830994878543e3,F,en,2854,FALSE,FALSE,TRUE,22,95.13,7.93,167,8,0,25,125,100,0,0
7631788075812383e3,F,de,3196,TRUE,TRUE,FALSE,11,106.53,8.88,130,12,1,47,123,91,0,0
674361423306028400,F,en,3198,TRUE,FALSE,FALSE,11,106.6,8.88,121,0,1140,31,108,94,531,105
2550976450216757e3,F,fr,2857,TRUE,TRUE,TRUE,11,95.23,7.94,53,9,3,5,106,98,0,0
3718185418791028700,F,it,3195,TRUE,TRUE,FALSE,14,106.5,8.88,744,13764,51671,0,104,85,1842,0
3908244093584862700,F,en,2856,TRUE,TRUE,TRUE,11,95.2,7.93,57,8,45,123,92,74,6,2
-8291872437813427e3,M,it,3195,TRUE,TRUE,FALSE,11,106.5,8.88,127,40,863,40,87,89,68,0
-799281291336805e4,F,en,2855,FALSE,FALSE,TRUE,68,95.17,7.93,102,8,0,0,87,98,0,0
-6042837405271512e3,F,es,3195,TRUE,TRUE,TRUE,11,106.5,8.88,46,19,1308,63,87,92,564,36
8027803513424685e3,M,it,2859,TRUE,TRUE,FALSE,11,95.3,7.94,35,9,2,185,87,94,2,0
-1009317821982259500,F,en,2853,FALSE,FALSE,TRUE,55,95.1,7.92,123,8,1,117,86,100,0,0
1205881756843387100,M,it,3195,TRUE,TRUE,TRUE,11,106.5,8.88,45,8,0,17,84,98.7,0,0
1450851698857145300,F,de,3203,TRUE,TRUE,FALSE,11,106.77,8.9,48,16,599,22,82,89,1016,32
-9221801386431226e3,F,es,2858,TRUE,TRUE,FALSE,11,95.27,7.94,176,60,276,18,81,92,1,0
732189832737494500,F,en,3205,TRUE,TRUE,TRUE,13,106.83,8.9,47,8,0,10,78,98,0,0
8741445689531731e3,M,es,3202,TRUE,FALSE,FALSE,11,106.73,8.89,85,0,115,54,73,90,4,0
8317887111506061e3,M,fr,3204,TRUE,TRUE,TRUE,11,106.8,8.9,107,3649,310,217,70,98,0,0
5145876400632363e3,F,fr,3197,FALSE,FALSE,TRUE,11,106.57,8.88,60,9,41,244,70,88,37,14
6048206785556031e3,F,fr,2853,TRUE,TRUE,FALSE,11,95.1,7.92,73,27,104,8,69,98,182,115
3275083886092943400,F,en,2855,FALSE,FALSE,FALSE,16,95.17,7.93,125,500,7044,117,67,90,664,0
5724841529455567e3,F,it,3202,TRUE,TRUE,FALSE,15,106.73,8.89,103,431,7,13,66,93,0,0
-7107267944201976e3,F,fr,3195,TRUE,TRUE,FALSE,11,106.5,8.88,56,8,727,4,66,83,16,0
-7659168937010608e3,F,es,3195,TRUE,TRUE,TRUE,11,106.5,8.88,51,9,66,13,65,90,1,0
-666300818922943e4,F,en,2856,FALSE,FALSE,TRUE,11,95.2,7.93,50,8,0,44,64,93,0,0
-3666404711126006300,M,en,3204,FALSE,FALSE,TRUE,293,106.8,8.9,54,8,5,102,63,98,3,0
7927686682563456e3,F,it,2857,TRUE,FALSE,TRUE,12,95.23,7.94,47,8,4,9,63,98,1,0
5993803159989834e3,F,fr,3196,TRUE,TRUE,FALSE,12,106.53,8.88,36,12,35,60,62,87,2,2
-6114870297213503e3,F,en,3200,FALSE,FALSE,FALSE,11,106.67,8.89,40,189,68,15,60,90,2,0
-5736812074957181e3,F,en,2855,FALSE,FALSE,FALSE,11,95.17,7.93,23,22,28,23,60,96.4,139,6
-1729009415811639e3,F,en,2855,TRUE,TRUE,TRUE,11,95.17,7.93,83,8,4,56,57,98,0,0
-697661860180574300,F,en,3205,FALSE,FALSE,TRUE,86,106.83,8.9,52,8,0,32,55,100,0,0
2555419810142555e3,F,en,3203,FALSE,FALSE,TRUE,23,106.77,8.9,42,8,0,55,54,100,0,0
-6017183581142816e3,F,en,2854,TRUE,TRUE,TRUE,12,95.13,7.93,28,8,83,34,51,100,25,8
-6184929557711344e3,F,es,3201,TRUE,TRUE,FALSE,13,106.7,8.89,96,0,3,0,50,96,214,32
751170060116305e3,M,it,3195,FALSE,FALSE,FALSE,11,106.5,8.88,58,8,2,62,50,100,0,0
866533151187667600,F,es,2857,TRUE,TRUE,TRUE,240,95.23,7.94,53,9,4,38,50,68,3,0
2063789019158959e3,F,it,3202,TRUE,FALSE,FALSE,12,106.73,8.89,63,8,2,7,49,86.4,0,0
-6200949683536787e3,F,en,3204,TRUE,TRUE,FALSE,43,106.8,8.9,30,8,7,6,48,35,0,0
8848554873545217e3,F,es,2854,TRUE,TRUE,FALSE,11,95.13,7.93,58,48,593,39,47,93,66,1
3479861271803167e3,F,en,3198,TRUE,TRUE,FALSE,21,106.6,8.88,28,8,4,0,47,77,8,1
2624921703073218600,F,en,2855,TRUE,TRUE,FALSE,11,95.17,7.93,53,61,1160,62,45,80,4,69
